instant,g1,g2,g3,g4,g5,l1,l2,l3,l4,l5
2020-07-29T23:00:00Z,WIPRO.NS,MARUTI.NS,CIPLA.NS,RELIANCE.NS,BRITANNIA.NS,INDUSINDBK.NS,BAJAJFINSV.NS,BHARTIARTL.NS,ONGC.NS,GRASIM.NS
2019-02-01T00:00:00Z,HEROMOTOCO.NS,MARUTI.NS,BAJFINANCE.NS,TECHM.NS,BAJAJ-AUTO.NS,ICICIBANK.NS,ULTRACEMCO.NS,COALINDIA.NS,TITAN.NS,TATASTEEL.NS
2019-10-14T23:00:00Z,HEROMOTOCO.NS,ONGC.NS,MARUTI.NS,BRITANNIA.NS,HINDALCO.NS,BHARTIARTL.NS,SHREECEM.NS,NESTLEIND.NS,BAJAJFINSV.NS,BAJFINANCE.NS
2015-07-15T23:00:00Z,KOTAKBANK.NS,SHREECEM.NS,TECHM.NS,BAJFINANCE.NS,CIPLA.NS,BAJAJFINSV.NS,ULTRACEMCO.NS,WIPRO.NS,HEROMOTOCO.NS,GRASIM.NS
2020-12-17T00:00:00Z,BAJFINANCE.NS,INDUSINDBK.NS,ULTRACEMCO.NS,SHREECEM.NS,TECHM.NS,HINDALCO.NS,COALINDIA.NS,ONGC.NS,MARUTI.NS,TATASTEEL.NS
2017-05-30T23:00:00Z,BRITANNIA.NS,ULTRACEMCO.NS,TATACONSUM.NS,GRASIM.NS,ICICIBANK.NS,COALINDIA.NS,TATASTEEL.NS,RELIANCE.NS,HINDALCO.NS,ONGC.NS
2020-03-03T00:00:00Z,TATASTEEL.NS,HINDALCO.NS,CIPLA.NS,COALINDIA.NS,TATACONSUM.NS,ITC.NS,TITAN.NS,BHARTIARTL.NS,BAJAJFINSV.NS,BAJAJ-AUTO.NS
2015-12-03T00:00:00Z,TECHM.NS,INDUSINDBK.NS,ULTRACEMCO.NS,NTPC.NS,MARUTI.NS,ONGC.NS,HEROMOTOCO.NS,ITC.NS,ICICIBANK.NS,HINDALCO.NS
2017-08-13T23:00:00Z,TATACONSUM.NS,CIPLA.NS,BAJAJFINSV.NS,TATASTEEL.NS,GRASIM.NS,BHARTIARTL.NS,TCS.NS,KOTAKBANK.NS,WIPRO.NS,TECHM.NS
2015-03-30T23:00:00Z,BAJFINANCE.NS,RELIANCE.NS,CIPLA.NS,BAJAJFINSV.NS,COALINDIA.NS,ONGC.NS,ULTRACEMCO.NS,TATASTEEL.NS,HINDALCO.NS,ICICIBANK.NS
2017-01-02T00:00:00Z,TATASTEEL.NS,ULTRACEMCO.NS,BAJFINANCE.NS,MARUTI.NS,HINDALCO.NS,INDUSINDBK.NS,SHREECEM.NS,ICICIBANK.NS,BAJAJ-AUTO.NS,NESTLEIND.NS
2018-09-13T23:00:00Z,TATACONSUM.NS,SHREECEM.NS,BAJAJFINSV.NS,GRASIM.NS,HINDALCO.NS,HDFCLIFE.NS,COALINDIA.NS,NESTLEIND.NS,RELIANCE.NS,ITC.NS
2018-02-02T00:00:00Z,TECHM.NS,TCS.NS,ITC.NS,WIPRO.NS,BRITANNIA.NS,BAJFINANCE.NS,GRASIM.NS,BAJAJ-AUTO.NS,ULTRACEMCO.NS,TATACONSUM.NS
