instant,g1,g2,g3,g4,g5,l1,l2,l3,l4,l5
2020-07-06T23:00:00Z,BAJFINANCE.NS,INDUSINDBK.NS,BAJAJFINSV.NS,ICICIBANK.NS,TATACONSUM.NS,NTPC.NS,ITC.NS,GRASIM.NS,TATASTEEL.NS,COALINDIA.NS
2021-01-05T00:00:00Z,INDUSINDBK.NS,HDFCLIFE.NS,WIPRO.NS,TCS.NS,TITAN.NS,ONGC.NS,BAJFINANCE.NS,TATASTEEL.NS,HINDALCO.NS,COALINDIA.NS
2016-04-06T23:00:00Z,NESTLEIND.NS,COALINDIA.NS,ONGC.NS,BAJFINANCE.NS,RELIANCE.NS,MARUTI.NS,TITAN.NS,LT.NS,ITC.NS,TECHM.NS
2019-09-23T23:00:00Z,RELIANCE.NS,TECHM.NS,HDFCLIFE.NS,MARUTI.NS,TCS.NS,LT.NS,HEROMOTOCO.NS,COALINDIA.NS,NESTLEIND.NS,ONGC.NS
2020-03-24T00:00:00Z,HDFCLIFE.NS,BRITANNIA.NS,TATACONSUM.NS,BAJFINANCE.NS,RELIANCE.NS,GRASIM.NS,INDUSINDBK.NS,ITC.NS,BAJAJFINSV.NS,ULTRACEMCO.NS
2015-06-24T23:00:00Z,BAJAJ-AUTO.NS,LT.NS,INDUSINDBK.NS,BAJFINANCE.NS,TATACONSUM.NS,TECHM.NS,NESTLEIND.NS,WIPRO.NS,CIPLA.NS,ONGC.NS
2015-12-24T00:00:00Z,TATACONSUM.NS,BHARTIARTL.NS,HINDALCO.NS,ITC.NS,HEROMOTOCO.NS,TITAN.NS,ICICIBANK.NS,MARUTI.NS,ONGC.NS,GRASIM.NS
2020-06-24T23:00:00Z,ITC.NS,KOTAKBANK.NS,HEROMOTOCO.NS,BAJFINANCE.NS,HDFCLIFE.NS,HINDALCO.NS,SHREECEM.NS,ONGC.NS,INDUSINDBK.NS,LT.NS
2018-05-10T23:00:00Z,NESTLEIND.NS,TATASTEEL.NS,BAJAJFINSV.NS,LT.NS,ULTRACEMCO.NS,BHARTIARTL.NS,TITAN.NS,HEROMOTOCO.NS,NTPC.NS,BAJAJ-AUTO.NS
2017-07-25T23:00:00Z,BAJFINANCE.NS,INDUSINDBK.NS,CIPLA.NS,TATASTEEL.NS,ICICIBANK.NS,ULTRACEMCO.NS,SHREECEM.NS,TCS.NS,GRASIM.NS,NESTLEIND.NS
2015-06-10T23:00:00Z,BAJFINANCE.NS,NESTLEIND.NS,TECHM.NS,BRITANNIA.NS,SHREECEM.NS,KOTAKBANK.NS,ULTRACEMCO.NS,RELIANCE.NS,CIPLA.NS,TITAN.NS
2021-01-21T00:00:00Z,BAJFINANCE.NS,RELIANCE.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BRITANNIA.NS,ONGC.NS,TATASTEEL.NS,COALINDIA.NS,BHARTIARTL.NS,CIPLA.NS
2018-12-07T00:00:00Z,KOTAKBANK.NS,BAJAJFINSV.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,ULTRACEMCO.NS,COALINDIA.NS,NTPC.NS,HDFCLIFE.NS,TATACONSUM.NS,ONGC.NS
2020-01-07T00:00:00Z,SHREECEM.NS,ULTRACEMCO.NS,HDFCLIFE.NS,RELIANCE.NS,NTPC.NS,BHARTIARTL.NS,NESTLEIND.NS,HEROMOTOCO.NS,ICICIBANK.NS,INDUSINDBK.NS
2017-11-22T00:00:00Z,HDFCLIFE.NS,GRASIM.NS,ULTRACEMCO.NS,MARUTI.NS,ITC.NS,TECHM.NS,BAJFINANCE.NS,NESTLEIND.NS,HINDALCO.NS,INDUSINDBK.NS
2017-02-06T00:00:00Z,BAJAJFINSV.NS,NESTLEIND.NS,ICICIBANK.NS,TITAN.NS,BAJFINANCE.NS,CIPLA.NS,ONGC.NS,HINDALCO.NS,TECHM.NS,COALINDIA.NS
2017-04-09T23:00:00Z,BAJAJFINSV.NS,BAJFINANCE.NS,GRASIM.NS,BRITANNIA.NS,COALINDIA.NS,RELIANCE.NS,WIPRO.NS,NTPC.NS,SHREECEM.NS,LT.NS
2018-03-09T00:00:00Z,BAJAJFINSV.NS,TECHM.NS,BAJFINANCE.NS,TCS.NS,LT.NS,TATASTEEL.NS,TATACONSUM.NS,ICICIBANK.NS,CIPLA.NS,HDFCLIFE.NS
2020-09-07T23:00:00Z,WIPRO.NS,RELIANCE.NS,TCS.NS,TECHM.NS,ICICIBANK.NS,TATASTEEL.NS,HINDALCO.NS,BHARTIARTL.NS,GRASIM.NS,ONGC.NS
2018-07-24T23:00:00Z,HDFCLIFE.NS,BAJAJFINSV.NS,TATASTEEL.NS,ONGC.NS,INDUSINDBK.NS,NTPC.NS,TATACONSUM.NS,ULTRACEMCO.NS,TECHM.NS,SHREECEM.NS
2016-06-08T23:00:00Z,ONGC.NS,COALINDIA.NS,NTPC.NS,RELIANCE.NS,CIPLA.NS,SHREECEM.NS,HEROMOTOCO.NS,ITC.NS,BAJAJ-AUTO.NS,TCS.NS
2017-10-08T23:00:00Z,TITAN.NS,COALINDIA.NS,TECHM.NS,INDUSINDBK.NS,KOTAKBANK.NS,ONGC.NS,SHREECEM.NS,BHARTIARTL.NS,NESTLEIND.NS,RELIANCE.NS
2015-08-24T23:00:00Z,COALINDIA.NS,ICICIBANK.NS,TATASTEEL.NS,NTPC.NS,TATACONSUM.NS,SHREECEM.NS,TITAN.NS,KOTAKBANK.NS,MARUTI.NS,BRITANNIA.NS
2021-02-22T00:00:00Z,HINDALCO.NS,TATASTEEL.NS,ONGC.NS,GRASIM.NS,HEROMOTOCO.NS,TECHM.NS,INDUSINDBK.NS,LT.NS,TCS.NS,RELIANCE.NS
2019-01-08T00:00:00Z,ICICIBANK.NS,NESTLEIND.NS,GRASIM.NS,BAJAJ-AUTO.NS,BHARTIARTL.NS,BRITANNIA.NS,KOTAKBANK.NS,NTPC.NS,SHREECEM.NS,HINDALCO.NS
2016-11-23T00:00:00Z,HINDALCO.NS,TATASTEEL.NS,NTPC.NS,BRITANNIA.NS,LT.NS,BHARTIARTL.NS,MARUTI.NS,BAJFINANCE.NS,ITC.NS,INDUSINDBK.NS
2018-04-08T23:00:00Z,HINDALCO.NS,TITAN.NS,INDUSINDBK.NS,ITC.NS,TATACONSUM.NS,BHARTIARTL.NS,TCS.NS,HDFCLIFE.NS,ULTRACEMCO.NS,GRASIM.NS
2020-11-23T00:00:00Z,ONGC.NS,INDUSINDBK.NS,TECHM.NS,WIPRO.NS,BAJAJFINSV.NS,ICICIBANK.NS,BHARTIARTL.NS,TITAN.NS,LT.NS,ITC.NS
2019-08-08T23:00:00Z,MARUTI.NS,BAJAJFINSV.NS,NESTLEIND.NS,BAJFINANCE.NS,TITAN.NS,CIPLA.NS,HINDALCO.NS,TECHM.NS,COALINDIA.NS,TATACONSUM.NS
2015-11-09T00:00:00Z,TATACONSUM.NS,MARUTI.NS,ITC.NS,TITAN.NS,RELIANCE.NS,BRITANNIA.NS,SHREECEM.NS,WIPRO.NS,CIPLA.NS,ICICIBANK.NS
2017-09-06T23:00:00Z,BAJFINANCE.NS,BAJAJFINSV.NS,NESTLEIND.NS,GRASIM.NS,HINDALCO.NS,ITC.NS,BHARTIARTL.NS,COALINDIA.NS,ICICIBANK.NS,ULTRACEMCO.NS
2015-07-23T23:00:00Z,TECHM.NS,BRITANNIA.NS,TITAN.NS,HEROMOTOCO.NS,CIPLA.NS,ICICIBANK.NS,WIPRO.NS,RELIANCE.NS,TATASTEEL.NS,LT.NS
2017-03-10T00:00:00Z,BRITANNIA.NS,BHARTIARTL.NS,ONGC.NS,LT.NS,TCS.NS,TECHM.NS,TATACONSUM.NS,NESTLEIND.NS,ICICIBANK.NS,GRASIM.NS
2018-10-07T23:00:00Z,RELIANCE.NS,KOTAKBANK.NS,HEROMOTOCO.NS,TATACONSUM.NS,TITAN.NS,HINDALCO.NS,TECHM.NS,WIPRO.NS,BAJFINANCE.NS,TATASTEEL.NS
2016-08-22T23:00:00Z,TCS.NS,BHARTIARTL.NS,TITAN.NS,TATACONSUM.NS,WIPRO.NS,NTPC.NS,SHREECEM.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS
2016-02-24T00:00:00Z,BHARTIARTL.NS,RELIANCE.NS,NESTLEIND.NS,MARUTI.NS,TATACONSUM.NS,NTPC.NS,HINDALCO.NS,ICICIBANK.NS,BAJAJ-AUTO.NS,ONGC.NS
2019-04-23T23:00:00Z,ULTRACEMCO.NS,ONGC.NS,INDUSINDBK.NS,BHARTIARTL.NS,BAJFINANCE.NS,HEROMOTOCO.NS,NESTLEIND.NS,COALINDIA.NS,CIPLA.NS,MARUTI.NS
2019-07-07T23:00:00Z,TCS.NS,TECHM.NS,HINDALCO.NS,ITC.NS,RELIANCE.NS,BAJAJFINSV.NS,BAJFINANCE.NS,ONGC.NS,HEROMOTOCO.NS,NTPC.NS
2017-05-22T23:00:00Z,MARUTI.NS,WIPRO.NS,HINDALCO.NS,TECHM.NS,TATASTEEL.NS,CIPLA.NS,BAJAJ-AUTO.NS,SHREECEM.NS,COALINDIA.NS,TATACONSUM.NS
2015-04-07T23:00:00Z,COALINDIA.NS,RELIANCE.NS,BHARTIARTL.NS,BAJFINANCE.NS,TECHM.NS,ONGC.NS,NESTLEIND.NS,SHREECEM.NS,KOTAKBANK.NS,HEROMOTOCO.NS
2019-11-25T00:00:00Z,BHARTIARTL.NS,TATASTEEL.NS,HINDALCO.NS,GRASIM.NS,INDUSINDBK.NS,ONGC.NS,WIPRO.NS,ITC.NS,LT.NS,ICICIBANK.NS
2020-08-06T23:00:00Z,TATACONSUM.NS,BAJFINANCE.NS,INDUSINDBK.NS,BAJAJFINSV.NS,BRITANNIA.NS,TITAN.NS,WIPRO.NS,LT.NS,ULTRACEMCO.NS,TCS.NS
2021-03-26T00:00:00Z,TATASTEEL.NS,BAJAJFINSV.NS,HINDALCO.NS,TITAN.NS,BHARTIARTL.NS,INDUSINDBK.NS,ITC.NS,HEROMOTOCO.NS,MARUTI.NS,CIPLA.NS
2019-10-22T23:00:00Z,MARUTI.NS,TITAN.NS,BRITANNIA.NS,HEROMOTOCO.NS,BAJAJ-AUTO.NS,BHARTIARTL.NS,GRASIM.NS,ONGC.NS,RELIANCE.NS,TATACONSUM.NS
2018-09-05T23:00:00Z,RELIANCE.NS,CIPLA.NS,COALINDIA.NS,NTPC.NS,KOTAKBANK.NS,HINDALCO.NS,MARUTI.NS,BAJFINANCE.NS,TATACONSUM.NS,NESTLEIND.NS
2016-07-21T23:00:00Z,NESTLEIND.NS,HINDALCO.NS,BAJFINANCE.NS,BRITANNIA.NS,NTPC.NS,BAJAJ-AUTO.NS,WIPRO.NS,SHREECEM.NS,COALINDIA.NS,BAJAJFINSV.NS
2015-10-06T23:00:00Z,HINDALCO.NS,ONGC.NS,TATASTEEL.NS,BAJAJ-AUTO.NS,CIPLA.NS,NESTLEIND.NS,BHARTIARTL.NS,WIPRO.NS,TCS.NS,TITAN.NS
2021-05-06T23:00:00Z,TATASTEEL.NS,HINDALCO.NS,BAJAJFINSV.NS,NTPC.NS,BHARTIARTL.NS,TATACONSUM.NS,BAJAJ-AUTO.NS,HEROMOTOCO.NS,BAJFINANCE.NS,KOTAKBANK.NS
2020-03-11T00:00:00Z,COALINDIA.NS,HEROMOTOCO.NS,RELIANCE.NS,BRITANNIA.NS,ICICIBANK.NS,TATASTEEL.NS,INDUSINDBK.NS,HINDALCO.NS,ONGC.NS,ULTRACEMCO.NS
2018-01-25T00:00:00Z,ICICIBANK.NS,ULTRACEMCO.NS,COALINDIA.NS,KOTAKBANK.NS,LT.NS,HEROMOTOCO.NS,BRITANNIA.NS,TCS.NS,MARUTI.NS,BAJFINANCE.NS
2015-12-11T00:00:00Z,TATASTEEL.NS,NESTLEIND.NS,HINDALCO.NS,SHREECEM.NS,CIPLA.NS,ICICIBANK.NS,BRITANNIA.NS,TITAN.NS,GRASIM.NS,ONGC.NS
2015-02-25T00:00:00Z,BHARTIARTL.NS,ULTRACEMCO.NS,WIPRO.NS,ITC.NS,SHREECEM.NS,TATASTEEL.NS,LT.NS,TATACONSUM.NS,TCS.NS,ICICIBANK.NS
2020-04-21T23:00:00Z,RELIANCE.NS,TATACONSUM.NS,BAJAJFINSV.NS,INDUSINDBK.NS,NESTLEIND.NS,ONGC.NS,LT.NS,CIPLA.NS,GRASIM.NS,BHARTIARTL.NS
2020-07-05T23:00:00Z,BAJFINANCE.NS,HINDALCO.NS,RELIANCE.NS,MARUTI.NS,TCS.NS,BAJAJ-AUTO.NS,WIPRO.NS,BHARTIARTL.NS,CIPLA.NS,ICICIBANK.NS
2018-05-21T23:00:00Z,BAJAJFINSV.NS,COALINDIA.NS,BAJAJ-AUTO.NS,HINDALCO.NS,BAJFINANCE.NS,ULTRACEMCO.NS,HDFCLIFE.NS,TCS.NS,ITC.NS,KOTAKBANK.NS
2016-04-05T23:00:00Z,TATASTEEL.NS,HINDALCO.NS,ULTRACEMCO.NS,BRITANNIA.NS,SHREECEM.NS,TECHM.NS,ICICIBANK.NS,NTPC.NS,NESTLEIND.NS,ITC.NS
2015-06-21T23:00:00Z,BAJFINANCE.NS,ICICIBANK.NS,BRITANNIA.NS,TITAN.NS,KOTAKBANK.NS,BHARTIARTL.NS,RELIANCE.NS,WIPRO.NS,ONGC.NS,BAJAJFINSV.NS
2016-10-20T23:00:00Z,TECHM.NS,INDUSINDBK.NS,KOTAKBANK.NS,BAJFINANCE.NS,TCS.NS,TITAN.NS,CIPLA.NS,HINDALCO.NS,RELIANCE.NS,BAJAJFINSV.NS
2020-10-20T23:00:00Z,BHARTIARTL.NS,TATASTEEL.NS,HINDALCO.NS,NTPC.NS,GRASIM.NS,BRITANNIA.NS,TATACONSUM.NS,TCS.NS,HEROMOTOCO.NS,HDFCLIFE.NS
2015-09-14T23:00:00Z,BRITANNIA.NS,TECHM.NS,BAJFINANCE.NS,TATACONSUM.NS,ITC.NS,TATASTEEL.NS,HINDALCO.NS,LT.NS,HEROMOTOCO.NS,SHREECEM.NS
2019-03-13T00:00:00Z,INDUSINDBK.NS,NESTLEIND.NS,BAJFINANCE.NS,RELIANCE.NS,ICICIBANK.NS,BHARTIARTL.NS,TATASTEEL.NS,NTPC.NS,TECHM.NS,COALINDIA.NS
2015-03-19T00:00:00Z,SHREECEM.NS,TATASTEEL.NS,TCS.NS,NTPC.NS,ONGC.NS,INDUSINDBK.NS,TECHM.NS,BAJAJFINSV.NS,GRASIM.NS,ULTRACEMCO.NS
2018-02-26T00:00:00Z,GRASIM.NS,MARUTI.NS,BAJAJFINSV.NS,LT.NS,INDUSINDBK.NS,TECHM.NS,TCS.NS,SHREECEM.NS,WIPRO.NS,CIPLA.NS
2016-01-12T00:00:00Z,NTPC.NS,WIPRO.NS,BAJAJFINSV.NS,BRITANNIA.NS,TITAN.NS,HINDALCO.NS,SHREECEM.NS,INDUSINDBK.NS,TATASTEEL.NS,ULTRACEMCO.NS
2018-04-29T23:00:00Z,NESTLEIND.NS,TCS.NS,KOTAKBANK.NS,TATACONSUM.NS,LT.NS,RELIANCE.NS,ICICIBANK.NS,COALINDIA.NS,SHREECEM.NS,HDFCLIFE.NS
2016-06-19T23:00:00Z,TATASTEEL.NS,TCS.NS,BHARTIARTL.NS,ULTRACEMCO.NS,HINDALCO.NS,BAJAJFINSV.NS,BRITANNIA.NS,ITC.NS,COALINDIA.NS,ICICIBANK.NS
2021-02-01T00:00:00Z,INDUSINDBK.NS,ICICIBANK.NS,BAJAJFINSV.NS,LT.NS,ULTRACEMCO.NS,CIPLA.NS,TECHM.NS,NESTLEIND.NS,BRITANNIA.NS,WIPRO.NS
2018-12-18T00:00:00Z,BAJFINANCE.NS,LT.NS,KOTAKBANK.NS,NTPC.NS,BAJAJFINSV.NS,TECHM.NS,WIPRO.NS,NESTLEIND.NS,ITC.NS,ONGC.NS
2016-11-02T00:00:00Z,TITAN.NS,INDUSINDBK.NS,NTPC.NS,KOTAKBANK.NS,BAJAJ-AUTO.NS,ONGC.NS,BAJFINANCE.NS,GRASIM.NS,TATACONSUM.NS,RELIANCE.NS
2021-04-04T23:00:00Z,TCS.NS,BRITANNIA.NS,WIPRO.NS,BHARTIARTL.NS,SHREECEM.NS,BAJFINANCE.NS,INDUSINDBK.NS,ICICIBANK.NS,BAJAJ-AUTO.NS,ITC.NS
2019-05-14T23:00:00Z,BAJFINANCE.NS,BAJAJFINSV.NS,KOTAKBANK.NS,ITC.NS,TITAN.NS,INDUSINDBK.NS,GRASIM.NS,COALINDIA.NS,ULTRACEMCO.NS,BHARTIARTL.NS
2019-08-19T23:00:00Z,MARUTI.NS,HEROMOTOCO.NS,TCS.NS,BAJAJ-AUTO.NS,HDFCLIFE.NS,BRITANNIA.NS,ULTRACEMCO.NS,INDUSINDBK.NS,SHREECEM.NS,ITC.NS
2017-03-29T23:00:00Z,SHREECEM.NS,BHARTIARTL.NS,NESTLEIND.NS,INDUSINDBK.NS,RELIANCE.NS,ONGC.NS,COALINDIA.NS,TATASTEEL.NS,HINDALCO.NS,NTPC.NS
2017-07-04T23:00:00Z,TATACONSUM.NS,ONGC.NS,ULTRACEMCO.NS,GRASIM.NS,SHREECEM.NS,ITC.NS,WIPRO.NS,BHARTIARTL.NS,TITAN.NS,TCS.NS
2020-11-12T00:00:00Z,GRASIM.NS,SHREECEM.NS,HINDALCO.NS,ITC.NS,LT.NS,COALINDIA.NS,KOTAKBANK.NS,INDUSINDBK.NS,NTPC.NS,ICICIBANK.NS
2015-05-20T23:00:00Z,BAJAJ-AUTO.NS,COALINDIA.NS,TECHM.NS,GRASIM.NS,BAJFINANCE.NS,TATASTEEL.NS,CIPLA.NS,BRITANNIA.NS,ICICIBANK.NS,ITC.NS
2017-02-27T00:00:00Z,RELIANCE.NS,BAJFINANCE.NS,BRITANNIA.NS,WIPRO.NS,COALINDIA.NS,BHARTIARTL.NS,ICICIBANK.NS,INDUSINDBK.NS,LT.NS,MARUTI.NS
2017-09-27T23:00:00Z,COALINDIA.NS,KOTAKBANK.NS,TATACONSUM.NS,CIPLA.NS,HINDALCO.NS,TITAN.NS,RELIANCE.NS,BHARTIARTL.NS,WIPRO.NS,TCS.NS
2015-08-13T23:00:00Z,KOTAKBANK.NS,ICICIBANK.NS,INDUSINDBK.NS,RELIANCE.NS,BAJAJ-AUTO.NS,BRITANNIA.NS,NESTLEIND.NS,SHREECEM.NS,COALINDIA.NS,ONGC.NS
2019-07-18T23:00:00Z,NTPC.NS,TITAN.NS,COALINDIA.NS,TCS.NS,ONGC.NS,BAJFINANCE.NS,HEROMOTOCO.NS,BAJAJFINSV.NS,INDUSINDBK.NS,HDFCLIFE.NS
2021-05-27T23:00:00Z,RELIANCE.NS,GRASIM.NS,COALINDIA.NS,KOTAKBANK.NS,INDUSINDBK.NS,BAJAJFINSV.NS,SHREECEM.NS,ICICIBANK.NS,NESTLEIND.NS,BAJFINANCE.NS
2021-03-05T00:00:00Z,ONGC.NS,MARUTI.NS,KOTAKBANK.NS,HEROMOTOCO.NS,NESTLEIND.NS,INDUSINDBK.NS,WIPRO.NS,HINDALCO.NS,TATASTEEL.NS,SHREECEM.NS
2018-07-03T23:00:00Z,BAJAJ-AUTO.NS,MARUTI.NS,BAJAJFINSV.NS,RELIANCE.NS,COALINDIA.NS,GRASIM.NS,CIPLA.NS,NTPC.NS,TATACONSUM.NS,ONGC.NS
2020-05-12T23:00:00Z,LT.NS,ULTRACEMCO.NS,ICICIBANK.NS,BAJFINANCE.NS,HEROMOTOCO.NS,NESTLEIND.NS,HDFCLIFE.NS,BRITANNIA.NS,BHARTIARTL.NS,TATACONSUM.NS
2020-08-17T23:00:00Z,GRASIM.NS,ULTRACEMCO.NS,KOTAKBANK.NS,ICICIBANK.NS,TATASTEEL.NS,TECHM.NS,CIPLA.NS,BAJAJ-AUTO.NS,NTPC.NS,HEROMOTOCO.NS
2016-05-18T23:00:00Z,SHREECEM.NS,BRITANNIA.NS,WIPRO.NS,HEROMOTOCO.NS,MARUTI.NS,LT.NS,ITC.NS,HINDALCO.NS,CIPLA.NS,RELIANCE.NS
2019-11-14T00:00:00Z,ICICIBANK.NS,TATACONSUM.NS,BAJFINANCE.NS,MARUTI.NS,BAJAJFINSV.NS,INDUSINDBK.NS,ULTRACEMCO.NS,HINDALCO.NS,COALINDIA.NS,BHARTIARTL.NS
2020-02-19T00:00:00Z,GRASIM.NS,COALINDIA.NS,SHREECEM.NS,HDFCLIFE.NS,CIPLA.NS,BHARTIARTL.NS,TCS.NS,LT.NS,MARUTI.NS,ULTRACEMCO.NS
2018-01-04T00:00:00Z,TITAN.NS,GRASIM.NS,HDFCLIFE.NS,TATASTEEL.NS,LT.NS,BRITANNIA.NS,BAJAJFINSV.NS,SHREECEM.NS,HEROMOTOCO.NS,MARUTI.NS
2015-11-20T00:00:00Z,WIPRO.NS,TATACONSUM.NS,BAJAJ-AUTO.NS,MARUTI.NS,CIPLA.NS,ITC.NS,HINDALCO.NS,NESTLEIND.NS,HEROMOTOCO.NS,ICICIBANK.NS
2015-07-12T23:00:00Z,INDUSINDBK.NS,MARUTI.NS,NTPC.NS,CIPLA.NS,WIPRO.NS,ONGC.NS,LT.NS,NESTLEIND.NS,COALINDIA.NS,BAJAJFINSV.NS
2020-12-14T00:00:00Z,ONGC.NS,LT.NS,CIPLA.NS,COALINDIA.NS,NTPC.NS,HEROMOTOCO.NS,HDFCLIFE.NS,WIPRO.NS,BAJAJ-AUTO.NS,TECHM.NS
2018-10-30T00:00:00Z,TATACONSUM.NS,TECHM.NS,GRASIM.NS,TCS.NS,HDFCLIFE.NS,COALINDIA.NS,CIPLA.NS,INDUSINDBK.NS,RELIANCE.NS,ITC.NS
2018-09-26T23:00:00Z,TCS.NS,COALINDIA.NS,ULTRACEMCO.NS,TITAN.NS,TATASTEEL.NS,BAJFINANCE.NS,BAJAJFINSV.NS,MARUTI.NS,ONGC.NS,KOTAKBANK.NS
2016-08-11T23:00:00Z,HINDALCO.NS,RELIANCE.NS,TATASTEEL.NS,SHREECEM.NS,BRITANNIA.NS,CIPLA.NS,TECHM.NS,TATACONSUM.NS,KOTAKBANK.NS,COALINDIA.NS
2020-07-16T23:00:00Z,ONGC.NS,TITAN.NS,RELIANCE.NS,COALINDIA.NS,TATACONSUM.NS,HINDALCO.NS,BRITANNIA.NS,TCS.NS,NESTLEIND.NS,WIPRO.NS
2016-03-16T00:00:00Z,ICICIBANK.NS,KOTAKBANK.NS,ITC.NS,SHREECEM.NS,TECHM.NS,HINDALCO.NS,BRITANNIA.NS,BHARTIARTL.NS,TITAN.NS,BAJAJFINSV.NS
2019-02-20T00:00:00Z,TATASTEEL.NS,ONGC.NS,HINDALCO.NS,ULTRACEMCO.NS,TECHM.NS,HEROMOTOCO.NS,BAJAJ-AUTO.NS,HDFCLIFE.NS,ITC.NS,INDUSINDBK.NS
2017-01-05T00:00:00Z,TATASTEEL.NS,BAJFINANCE.NS,INDUSINDBK.NS,ONGC.NS,ULTRACEMCO.NS,TECHM.NS,TCS.NS,TITAN.NS,GRASIM.NS,NTPC.NS
2016-07-10T23:00:00Z,BAJFINANCE.NS,ICICIBANK.NS,COALINDIA.NS,TATASTEEL.NS,MARUTI.NS,INDUSINDBK.NS,TITAN.NS,CIPLA.NS,TATACONSUM.NS,GRASIM.NS
2021-04-25T23:00:00Z,ICICIBANK.NS,ULTRACEMCO.NS,GRASIM.NS,HDFCLIFE.NS,BAJAJ-AUTO.NS,CIPLA.NS,BRITANNIA.NS,MARUTI.NS,HINDALCO.NS,TCS.NS
2019-06-16T23:00:00Z,WIPRO.NS,COALINDIA.NS,NESTLEIND.NS,TCS.NS,NTPC.NS,TATASTEEL.NS,ONGC.NS,RELIANCE.NS,BHARTIARTL.NS,MARUTI.NS
2019-12-16T00:00:00Z,TCS.NS,TECHM.NS,BAJAJFINSV.NS,KOTAKBANK.NS,HDFCLIFE.NS,GRASIM.NS,ITC.NS,COALINDIA.NS,TATACONSUM.NS,TITAN.NS
2017-05-01T23:00:00Z,TITAN.NS,ONGC.NS,TATACONSUM.NS,MARUTI.NS,KOTAKBANK.NS,BHARTIARTL.NS,RELIANCE.NS,NTPC.NS,BRITANNIA.NS,ICICIBANK.NS
2017-10-31T00:00:00Z,TITAN.NS,ONGC.NS,GRASIM.NS,BHARTIARTL.NS,HEROMOTOCO.NS,BRITANNIA.NS,HINDALCO.NS,TATASTEEL.NS,ULTRACEMCO.NS,LT.NS
2018-02-05T00:00:00Z,BHARTIARTL.NS,TECHM.NS,COALINDIA.NS,ITC.NS,MARUTI.NS,LT.NS,INDUSINDBK.NS,GRASIM.NS,TITAN.NS,SHREECEM.NS
2015-12-22T00:00:00Z,TITAN.NS,NESTLEIND.NS,BHARTIARTL.NS,ICICIBANK.NS,GRASIM.NS,HINDALCO.NS,ITC.NS,TCS.NS,INDUSINDBK.NS,TATACONSUM.NS
2016-10-03T23:00:00Z,ONGC.NS,TATASTEEL.NS,TECHM.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,LT.NS,SHREECEM.NS,INDUSINDBK.NS,ITC.NS
2015-03-18T00:00:00Z,RELIANCE.NS,SHREECEM.NS,HEROMOTOCO.NS,COALINDIA.NS,BAJFINANCE.NS,NTPC.NS,BAJAJFINSV.NS,TECHM.NS,WIPRO.NS,ONGC.NS
2021-04-15T23:00:00Z,WIPRO.NS,HINDALCO.NS,ULTRACEMCO.NS,CIPLA.NS,NESTLEIND.NS,ICICIBANK.NS,LT.NS,BAJFINANCE.NS,TATASTEEL.NS,TCS.NS
2019-03-14T00:00:00Z,NTPC.NS,INDUSINDBK.NS,COALINDIA.NS,TATACONSUM.NS,BHARTIARTL.NS,HEROMOTOCO.NS,ULTRACEMCO.NS,SHREECEM.NS,ICICIBANK.NS,HINDALCO.NS
2017-01-27T00:00:00Z,ICICIBANK.NS,BHARTIARTL.NS,NTPC.NS,MARUTI.NS,RELIANCE.NS,ITC.NS,WIPRO.NS,KOTAKBANK.NS,BRITANNIA.NS,HEROMOTOCO.NS
2020-09-17T23:00:00Z,CIPLA.NS,BHARTIARTL.NS,GRASIM.NS,TECHM.NS,NTPC.NS,KOTAKBANK.NS,BAJAJFINSV.NS,SHREECEM.NS,MARUTI.NS,TITAN.NS
2018-02-27T00:00:00Z,NESTLEIND.NS,BHARTIARTL.NS,NTPC.NS,HEROMOTOCO.NS,RELIANCE.NS,COALINDIA.NS,ICICIBANK.NS,BAJAJFINSV.NS,MARUTI.NS,TATASTEEL.NS
2016-01-13T00:00:00Z,RELIANCE.NS,INDUSINDBK.NS,BAJAJFINSV.NS,HINDALCO.NS,ICICIBANK.NS,TATACONSUM.NS,BHARTIARTL.NS,BAJFINANCE.NS,TCS.NS,LT.NS
2020-06-14T23:00:00Z,WIPRO.NS,RELIANCE.NS,ONGC.NS,CIPLA.NS,HINDALCO.NS,INDUSINDBK.NS,BAJFINANCE.NS,NTPC.NS,ICICIBANK.NS,TATASTEEL.NS
2017-10-18T23:00:00Z,BHARTIARTL.NS,TECHM.NS,TCS.NS,LT.NS,BAJAJFINSV.NS,ICICIBANK.NS,NTPC.NS,KOTAKBANK.NS,COALINDIA.NS,ULTRACEMCO.NS
2015-09-03T23:00:00Z,TITAN.NS,BHARTIARTL.NS,COALINDIA.NS,BRITANNIA.NS,NESTLEIND.NS,TATASTEEL.NS,HINDALCO.NS,ICICIBANK.NS,KOTAKBANK.NS,TATACONSUM.NS
2021-02-12T00:00:00Z,ICICIBANK.NS,WIPRO.NS,BAJAJFINSV.NS,TECHM.NS,GRASIM.NS,ITC.NS,ONGC.NS,COALINDIA.NS,TATASTEEL.NS,TITAN.NS
